
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
196,,Segment,3,4,Image 1,3,1,100000013,510000003111,
200,,Segment,3,4,Image 1,4,1,100000013,510000003122,
185,,Segment,3,1,Image 1,1,1,100000013,510000003143,
170,,Segment,3,1,Image 1,1,1,100000013,510000003156,
211,,Segment,3,2,Image 1,1,1,100000013,510000003160,
153,,Segment,3,2,Image 1,2,1,100000013,510000003185,
152,,Segment,3,3,Image 1,2,1,100000013,510000003188,
186,,Segment,3,4,Image 1,2,1,100000013,510000003191,
183,,Segment,3,4,Image 1,3,1,100000013,510000003206,
128,,Segment,3,1,Image 1,1,1,100000013,510000003211,
193,,Segment,3,4,Image 1,1,1,100000013,510000003215,
192,,Segment,3,4,Image 1,2,1,100000013,510000003235,
168,,Segment,3,3,Image 1,2,1,100000013,510000003244,
128,,Segment,3,2,Image 1,2,1,100000013,510000003251,
178,,Segment,3,3,Image 1,2,1,100000013,510000003253,
195,,Segment,3,3,Image 1,3,1,100000013,510000003269,
199,,Segment,3,3,Image 1,3,1,100000013,510000003292,
119,,Segment,3,2,Image 1,1,1,100000000,510000003309,
41,,Segment,3,1,Image 1,1,1,100000000,510000003310,
107,,Segment,3,2,Image 1,1,1,100000000,510000003311,
114,,Segment,3,1,Image 1,1,1,100000001,510000003312,
114,,Segment,3,2,Image 1,1,1,100000001,510000003313,
126,,Segment,3,1,Image 1,1,1,100000002,510000003314,
41,,Segment,3,1,Image 1,1,1,100000002,510000003315,
188,,Segment,3,2,Image 1,1,1,100000002,510000003316,
77,,Segment,3,0,Image 1,1,1,100000003,510000003317,
102,,Segment,3,1,Image 1,1,1,100000003,510000003318,
77,,Segment,3,1,Image 1,2,1,100000003,510000003319,
32,,Segment,3,2,Image 1,2,1,100000003,510000003320,
52,,Segment,3,6,Image 1,4,1,100000003,510000003321,
184,,Segment,3,7,Image 1,4,1,100000003,510000003322,
194,,Segment,3,7,Image 1,5,1,100000003,510000003323,
188,,Segment,3,4,Image 1,5,1,100000003,510000003324,
35,,Segment,3,0,Image 1,1,1,100000004,510000003325,
92,,Segment,3,1,Image 1,2,1,100000004,510000003326,
136,,Segment,3,0,Image 1,1,1,100000004,510000003327,
84,,Segment,3,1,Image 1,1,1,100000005,510000003328,
106,,Segment,3,1,Image 1,1,1,100000006,510000003329,
106,,Segment,3,2,Image 1,2,1,100000006,510000003330,
89,,Segment,3,1,Image 1,1,1,100000006,510000003331,
156,,Segment,3,1,Image 1,1,1,100000007,510000003332,
92,,Segment,3,1,Image 1,1,1,100000007,510000003333,
49,,Segment,3,0,Image 1,1,1,100000008,510000003334,
75,,Segment,3,1,Image 1,1,1,100000008,510000003335,
111,,Segment,3,0,Image 1,1,1,100000009,510000003336,
119,,Segment,3,2,Image 1,1,1,100000009,510000003337,
103,,Segment,3,0,Image 1,1,1,100000010,510000003338,
111,,Segment,3,0,Image 1,1,1,100000010,510000003339,
29,,Segment,3,0,Image 1,1,1,100000011,510000003340,
40,,Segment,3,1,Image 1,1,1,100000011,510000003341,
34,,Segment,3,1,Image 1,2,1,100000011,510000003342,
79,,Segment,3,2,Image 1,2,1,100000011,510000003343,
99,,Segment,3,3,Image 1,2,1,100000011,510000003344,
37,,Segment,3,1,Image 1,2,1,100000011,510000003345,
83,,Segment,3,2,Image 1,2,1,100000011,510000003346,
76,,Segment,3,0,Image 1,1,1,100000011,510000003347,
132,,Segment,3,1,Image 1,1,1,100000012,510000003348,
75,,Segment,3,1,Image 1,1,1,100000012,510000003349,
43,,Segment,3,1,Image 1,1,1,100000013,510000003350,
118,,Segment,3,2,Image 1,1,1,100000013,510000003351,
58,,Segment,3,2,Image 1,2,1,100000013,510000003352,
146,,Segment,3,3,Image 1,3,1,100000013,510000003353,
146,,Segment,3,2,Image 1,1,1,100000013,510000003354,
154,,Segment,3,3,Image 1,1,1,100000013,510000003355,
