
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
207,,Segment,3,6,Image 1,4,1,100000003,510000003321,
210,,Segment,3,7,Image 1,4,1,100000003,510000003322,
209,,Segment,3,7,Image 1,5,1,100000003,510000003323,
192,,Segment,3,4,Image 1,5,1,100000003,510000003324,
198,,Segment,3,0,Image 1,1,1,100000004,510000003325,
198,,Segment,3,1,Image 1,2,1,100000004,510000003326,
182,,Segment,3,0,Image 1,1,1,100000004,510000003327,
213,,Segment,3,1,Image 1,1,1,100000005,510000003328,
176,,Segment,3,1,Image 1,1,1,100000006,510000003329,
202,,Segment,3,2,Image 1,2,1,100000006,510000003330,
176,,Segment,3,1,Image 1,1,1,100000006,510000003331,
170,,Segment,3,1,Image 1,1,1,100000007,510000003332,
194,,Segment,3,1,Image 1,1,1,100000007,510000003333,
149,,Segment,3,0,Image 1,1,1,100000008,510000003334,
138,,Segment,3,1,Image 1,1,1,100000008,510000003335,
168,,Segment,3,0,Image 1,1,1,100000009,510000003336,
170,,Segment,3,2,Image 1,1,1,100000009,510000003337,
134,,Segment,3,0,Image 1,1,1,100000010,510000003338,
134,,Segment,3,0,Image 1,1,1,100000010,510000003339,
93,,Segment,3,0,Image 1,1,1,100000011,510000003340,
96,,Segment,3,1,Image 1,1,1,100000011,510000003341,
79,,Segment,3,1,Image 1,2,1,100000011,510000003342,
137,,Segment,3,2,Image 1,2,1,100000011,510000003343,
168,,Segment,3,3,Image 1,2,1,100000011,510000003344,
79,,Segment,3,1,Image 1,2,1,100000011,510000003345,
118,,Segment,3,2,Image 1,2,1,100000011,510000003346,
119,,Segment,3,0,Image 1,1,1,100000011,510000003347,
183,,Segment,3,1,Image 1,1,1,100000012,510000003348,
199,,Segment,3,1,Image 1,1,1,100000012,510000003349,
175,,Segment,3,1,Image 1,1,1,100000013,510000003350,
173,,Segment,3,2,Image 1,1,1,100000013,510000003351,
162,,Segment,3,2,Image 1,2,1,100000013,510000003352,
173,,Segment,3,3,Image 1,3,1,100000013,510000003353,
176,,Segment,3,2,Image 1,1,1,100000013,510000003354,
187,,Segment,3,3,Image 1,1,1,100000013,510000003355,
