
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
107247,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000296,
107244,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000012,800000297,
107465,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000012,800000298,
107330,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000012,800000299,
107518,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000012,800000300,
107407,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000012,800000301,
107547,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000012,800000302,
107458,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000012,800000303,
107545,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000012,800000304,
106958,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000305,
107264,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000012,800000306,
107272,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000307,
107279,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000012,800000308,
107456,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000012,800000309,
109287,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000013,800000310,
109342,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000013,800000311,
109302,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000013,800000312,
109440,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000013,800000313,
109316,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000013,800000314,
109445,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000013,800000315,
109311,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000013,800000316,
109341,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000013,800000317,
109319,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000013,800000318,
109286,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000013,800000319,
109251,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000013,800000320,
109264,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000013,800000321,
109275,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000013,800000322,
109184,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000013,800000323,
109254,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000013,800000324,
109296,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000013,800000325,
109283,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000013,800000326,
109321,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000013,800000327,
109397,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000013,800000328,
109340,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000013,800000329,
109420,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000013,800000330,
109259,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000013,800000331,
109217,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000013,800000332,
106614,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000014,800000333,
106518,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000014,800000334,
106559,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000014,800000335,
106610,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000014,800000336,
106508,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000014,800000337,
106726,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000014,800000338,
