
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
246.5,,Segment,1,1,Image 1,1,1,100000009,510000003703,
247.5,,Segment,1,1,Image 1,1,1,100000009,510000003704,
241.5,,Segment,1,1,Image 1,1,1,100000010,510000003705,
141,,Segment,1,4,Image 1,2,1,100000010,510000003706,
221,,Segment,1,1,Image 1,1,1,100000011,510000003707,
158.5,,Segment,1,2,Image 1,1,1,100000011,510000003708,
172.5,,Segment,1,3,Image 1,2,1,100000011,510000003709,
205.5,,Segment,1,1,Image 1,1,1,100000011,510000003710,
116,,Segment,1,2,Image 1,1,1,100000011,510000003711,
166,,Segment,1,1,Image 1,1,1,100000011,510000003712,
117.5,,Segment,1,2,Image 1,1,1,100000011,510000003713,
82,,Segment,1,2,Image 1,2,1,100000011,510000003714,
249,,Segment,1,1,Image 1,1,1,100000012,510000003715,
246,,Segment,1,1,Image 1,1,1,100000012,510000003716,
182,,Segment,1,5,Image 1,1,1,100000012,510000003717,
152,,Segment,1,1,Image 1,1,1,100000013,510000003718,
119.5,,Segment,1,2,Image 1,1,1,100000013,510000003719,
72.5,,Segment,1,3,Image 1,1,1,100000013,510000003720,
165,,Segment,1,2,Image 1,2,1,100000013,510000003721,
190,,Segment,1,1,Image 1,1,1,100000013,510000003722,
207.5,,Segment,1,1,Image 1,1,1,100000014,510000003723,
169,,Segment,1,2,Image 1,1,1,100000014,510000003724,
122,,Segment,1,3,Image 1,1,1,100000014,510000003725,
161,,Segment,1,2,Image 1,1,1,100000014,510000003726,
114,,Segment,1,3,Image 1,1,1,100000014,510000003727,
