
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
18.4689,µm,Segment,Segment Position,1,2,1,100000011,510000003342,
18.7163,µm,Segment,Segment Position,2,2,1,100000011,510000003343,
17.019,µm,Segment,Segment Position,3,2,1,100000011,510000003344,
18.4689,µm,Segment,Segment Position,1,2,1,100000011,510000003345,
17.9232,µm,Segment,Segment Position,2,2,1,100000011,510000003346,
21,µm,Segment,Segment Position,0,1,1,100000011,510000003347,
19.2197,µm,Segment,Segment Position,1,1,1,100000012,510000003348,
19.2197,µm,Segment,Segment Position,1,1,1,100000012,510000003349,
21,µm,Segment,Segment Position,1,1,1,100000013,510000003350,
19.4767,µm,Segment,Segment Position,2,1,1,100000013,510000003351,
19.4767,µm,Segment,Segment Position,2,2,1,100000013,510000003352,
15.8527,µm,Segment,Segment Position,3,3,1,100000013,510000003353,
18.8989,µm,Segment,Segment Position,2,1,1,100000013,510000003354,
18.7984,µm,Segment,Segment Position,3,1,1,100000013,510000003355,
